"","Admin","Admin_Dur","Info","Info_Dur","PdRel","PdRel_Dur","BounceR","ExitR","PageValues","SpecialDay","Month","VisitorType","Weekend","Revenue","Revenue1"
"1",0,0,0,0,1,0,20,20,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"2",0,0,0,0,2,1.06666666666667,0,10,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"3",0,0,0,0,1,0,20,20,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"4",0,0,0,0,2,0.04444444445,5,14,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"5",0,0,0,0,10,10.4583333333333,2,5,0,0,"Feb","Returning_Visitor",TRUE,FALSE,0
"6",0,0,0,0,19,2.57027777833333,1.5789474,2.4561404,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"7",0,0,0,0,1,0,20,20,0,0.4,"Feb","Returning_Visitor",FALSE,FALSE,0
"8",1,0,0,0,0,0,20,20,0,0,"Feb","Returning_Visitor",TRUE,FALSE,0
"9",0,0,0,0,2,0.616666666666667,0,10,0,0.8,"Feb","Returning_Visitor",FALSE,FALSE,0
"10",0,0,0,0,3,12.3,0,2.2222222,0,0.4,"Feb","Returning_Visitor",FALSE,FALSE,0
"11",0,0,0,0,3,6.58333333333333,0,6.6666667,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"12",0,0,0,0,16,6.79583333333333,1.875,2.5833333,0,0.4,"Feb","Returning_Visitor",FALSE,FALSE,0
"13",0,0,0,0,7,4.675,0,2.8571429,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"14",0,0,0,0,6,1.63333333333333,0,6.6666667,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"15",0,0,0,0,2,1.13333333333333,0,10,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"16",2,0.883333333333333,0,0,23,27.8047519833333,0.8333333,1.6312636,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"17",0,0,0,0,1,0,20,20,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"18",0,0,0,0,13,5.58277777833333,0,0.7692308,0,0,"Feb","Returning_Visitor",TRUE,FALSE,0
"19",0,0,0,0,2,0.533333333333333,0,10,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"20",0,0,0,0,20,49.6861111166667,0,1,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"21",0,0,0,0,8,2.269444445,0,0.8333333,0,1,"Feb","Returning_Visitor",TRUE,FALSE,0
"22",0,0,0,0,2,0,20,20,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"23",0,0,0,0,3,1.75,0,3.3333333,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"24",0,0,0,0,2,0.25,0,10,0,0.8,"Feb","Returning_Visitor",FALSE,FALSE,0
"25",0,0,0,0,1,0,20,20,0,0,"Feb","Returning_Visitor",TRUE,FALSE,0
"26",0,0,0,0,5,2.6,0,4,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"27",4,1.07666666666667,0,0,32,18.9240740666667,0.2857143,0.952381,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"28",0,0,0,0,4,1.26666666666667,5,10,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"29",0,0,0,0,4,1.05,0,5,0,0.2,"Feb","Returning_Visitor",FALSE,FALSE,0
"30",1,0.1,1,0,45,26.3791666666667,4.3478261,5.0821256,54.17976426,0.4,"Feb","Returning_Visitor",FALSE,FALSE,0
"31",0,0,0,0,2,0.583333333333333,0,10,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"32",0,0,0,0,3,1.3,0,6.6666667,0,0,"Feb","Returning_Visitor",TRUE,FALSE,0
"33",0,0,0,0,8,3.49166666666667,0,2.5,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"34",0,0,0,0,10,3.06111111166667,4,8,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"35",0,0,0,0,14,6.34166666666667,1.4285714,2.8571429,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"36",0,0,0,0,52,34.7707142833333,1.5384615,2.0352564,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"37",0,0,0,0,8,6.46666666666667,2.5,5.625,0,0,"Feb","Returning_Visitor",TRUE,FALSE,0
"38",2,0.3,0,0,5,4.96666666666667,0,2.8571429,0,0.8,"Feb","Returning_Visitor",FALSE,FALSE,0
"39",0,0,0,0,7,1.05,2.8571429,7.1428571,0,0.6,"Feb","Returning_Visitor",FALSE,FALSE,0
"40",0,0,0,0,9,8.03333333333333,0,2.2222222,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"41",1,0.15,0,0,46,68.0732323166667,0,0.1794872,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"42",0,0,0,0,3,0.366666666666667,0,6.6666667,0,0.6,"Feb","Returning_Visitor",FALSE,FALSE,0
"43",0,0,0,0,15,5.169444445,0,0.6666667,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"44",0,0,0,0,2,0.566666666666667,0,5,0,0.4,"Feb","Returning_Visitor",FALSE,FALSE,0
"45",0,0,0,0,4,1.46666666666667,0,5,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"46",0,0,0,0,22,10.3708333333333,0.3030303,0.6060606,0,0.2,"Feb","Returning_Visitor",FALSE,FALSE,0
"47",0,0,0,0,14,3.70666666666667,1.7142857,5.7142857,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"48",0,0,0,0,3,1.33333333333333,6.6666667,13.3333333,0,0.2,"Feb","Returning_Visitor",FALSE,FALSE,0
"49",0,0,0,0,11,13.3472222216667,0,0.3636364,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"50",0,0,0,0,1,0,20,20,0,0.6,"Feb","Returning_Visitor",FALSE,FALSE,0
"51",0,0,0,0,1,0,20,20,0,0,"Feb","Returning_Visitor",TRUE,FALSE,0
"52",0,0,0,0,12,4.419444445,1.1111111,2.6111111,0,0.2,"Feb","Returning_Visitor",FALSE,FALSE,0
"53",0,0,0,0,2,0.483333333333333,0,10,0,1,"Feb","Returning_Visitor",TRUE,FALSE,0
"54",0,0,0,0,4,2.66666666666667,0,7.5,0,0,"Feb","Returning_Visitor",FALSE,FALSE,0
"55",0,0,0,0,4,2.26111111166667,5,2.5,0,0.4,"Feb","Returning_Visitor",FALSE,FALSE,0
"56",0,0,0,0,1,0,20,20,0,0.2,"Feb","Returning_Visitor",FALSE,FALSE,0
"57",0,0,0,0,1,0,20,20,0,0.6,"Feb","Returning_Visitor",FALSE,FALSE,0
"58",4,0.933333333333333,2,2,36,16.645694445,0,1.4736467,19.44707913,0.2,"Feb","Returning_Visitor",FALSE,FALSE,0
"59",0,0,0,0,4,1.73333333333333,0,5,0,0.4,"Feb","Returning_Visitor",FALSE,FALSE,0
"60",2,0.266666666666667,0,0,16,6.36144179833333,1.1764706,4.6568627,0,0.6,"Feb","Returning_Visitor",FALSE,FALSE,0
